Time[s],xPosition1[m],yPosition1[m],absPosition1[m],Angle1[rad],xVelocity1[m/s],yVelocity1[m/s],absVelocity81[m/s],AngularVelocity1[rad/s]
17.375,0.000171346,0.00014580000000000002,0.000224983,,2.136e-07,2.2436e-08,2.1478e-07,
17.5,0.000171352,0.000145446,0.000224758,,8.7261e-08,1.0106e-07,1.3352e-07,
17.625,0.000171392,0.000145408,0.000224763,,-1.7281e-07,1.2992e-07,2.162e-07,
17.75,0.00017130600000000003,0.000145639,0.00022484799999999999,,-2.3428e-07,1.7893e-07,2.9479e-07,
17.875,0.000170745,0.000146169,0.000224765,,-2.2439e-07,1.8362e-07,2.8995e-07,
18.0,0.000170122,0.000145254,0.00022369700000000002,,-4.4021e-07,1.4056e-07,4.6211e-07,
18.125,0.000170257,0.00014510100000000002,0.00022370000000000002,,-6.3458e-07,3.591e-07,7.2914e-07,
18.25,0.000170309,0.000145073,0.000223722,,-7.7672e-07,7.3569e-07,1.0698e-06,
18.375,0.000170377,0.000145082,0.000223779,,-8.4926e-07,8.5855e-07,1.2076e-06,
18.5,0.00017006199999999999,0.00014553800000000002,0.000223835,,-9.3045e-07,7.0214e-07,1.1656e-06,
18.625,0.00017063600000000002,0.00014630199999999998,0.000224768,,-1.0341e-06,4.7363e-07,1.1374e-06,
18.75,0.000171012,0.000146308,0.000225058,,-1.0928e-06,3.1552e-07,1.1374e-06,
18.875,0.000169888,0.00014634,0.000224226,,-1.1725e-06,2.7404e-07,1.2041e-06,
19.0,0.00017026700000000001,0.000146943,0.000224907,,-1.2986e-06,8.167e-08,1.3011e-06,
19.125,0.000169682,0.000147013,0.00022451,,-1.0655e-06,-1.0002e-08,1.0656e-06,
19.25,0.000169349,0.000146474,0.000223905,,-7.4036e-07,-1.8733e-07,7.637e-07,
19.375,0.000169014,0.00014557800000000002,0.00022306599999999998,,-3.5787e-07,-3.9767e-07,5.3498e-07,
19.5,0.000168523,0.00014528,0.00022250000000000001,,-4.5435e-08,-5.0805e-07,5.1008e-07,
19.625,0.000168435,0.00014534900000000002,0.000222479,,3.9869e-07,-3.8687e-07,5.5554e-07,
